;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 24;4;0;4,194;0,608;180,8561305;1,639784811;3,538733835;0,067485023;334,4103474;6,377334632;278207,1463;52755,10415;10326384087;312725104,4;176,691285;0,014331635;1,581157754;0,249341537;3,876771338;-0,00116322;-6,558832274;0,969807479;8924914513;4822591,919;9,318477014;0,776269298;0,000329285;1,769072697;4,21445E-05;2,999998016;338,9425679;1905,484386;269,6314436;1635,852942
Indent 25;8,001;0;7,997;0,141;171,6036058;3,657779114;2,993946593;0,080566661;282,927953;7,6135495;272826,0197;54952,89995;11168749912;656313474,9;154,123671;0,059168808;6,844328714;0,860507083;3,358712049;-0,001234715;-8,186289804;0,772371887;7881336479;11127749,36;19,77730995;0,945356892;0,000424426;1,69948939;5,88381E-05;3;346,2346805;1653,376671;211,2676688;1442,109003
Indent 26;8,001;4,001;8,33;3,711;202,7490817;3,208543376;4,383763985;0,267324379;414,2656966;25,26215379;302293,6819;54145,8453;10129921739;410073431,1;216,3686705;-0,047015488;-4,600001574;0,714677183;5,710807247;-0,004581018;-20,72959398;0,977441518;8201253356;6657857,759;13,03780107;0,877383799;0,001207133;1,574126545;0,001036168;2,287776524;341,1980445;2317,888594;329,7124064;1988,176188
Indent 27;8,001;8,001;8,664;7,646;225,5783951;4,416534782;5,486097265;0,248833243;518,4361915;23,51474149;326475,1928;56704,34865;9647530221;206601289,2;245,9448038;-0,070319633;-6,22845623;0,840791489;6,727014576;-0,004284548;-15,60424666;0,983312585;8903408653;2569248,066;5,320974915;0,512913869;0,000952314;1,651964575;4,06782E-05;3;331,8487955;2853,766698;453,6482379;2400,11846
Indent 28;8,001;12,002;8,964;11,382;203,0284754;4,930698832;3,60477791;0,042882901;340,6515125;4,052434136;310472,2303;62919,07966;12316977220;373783765,3;179,6330901;0,080111125;7,835498918;0,862737125;3,396425598;0,000713446;3,93018702;0,904614137;10657575392;5682169,626;9,160956717;0,755261406;0,000154598;1,908218959;5,98654E-05;3;344,1972374;1951,940237;265,8382467;1686,10199
Indent 29;8,001;16,002;9,331;15,485;211,7825325;6,15913115;5,259876794;0,462992428;497,058357;43,75278444;308607,5474;52141,46542;9094399311;410312269,2;241,1274222;-0,101562959;-9,544385778;0,898269529;7,571740017;-0,008001382;-30,27556142;0,986636332;7167566513;6668787,759;14,59404401;0,872649133;0,001762016;1,532999299;0,00251433;2,097413993;344,0970763;2690,194983;393,6064919;2296,588491
Indent 30;8,001;20,003;9,698;19,454;163,9797021;3,483659714;3,002003043;0,040117548;283,6892876;3,791108306;258480,5319;52514,28051;10291016300;490521003,8;148,5678701;0,052849093;6,427015404;0,76082268;3,181559924;-0,000615723;-4,090120384;0,778720677;7996448469;7868359,077;15,24711935;0,850614831;0,000236615;1,800608005;9,56214E-05;2,843967747;345,8578936;1637,717589;221,9421723;1415,775417
Indent 31;8,001;24,003;9,965;23,424;164,4025473;2,316747614;2,943466335;0,117931123;278,1575687;11,14449111;261218,2594;51007,493;10557551041;598900232,4;155,6125881;0,029882979;3,61020728;0,547870597;3,510619529;-0,001928135;-13,01053431;0,880249174;7570436832;10155208,83;19,1047985;0,946796017;0,000455854;1,682077568;5,27203E-05;3;347,6736175;1606,954449;197,2333193;1409,72113
Indent 32;8,001;28,004;10,398;27,36;201,1247636;1,887893131;4,530129607;0,187233838;428,0972479;17,69359772;299532,6333;55445,79533;9661612147;346336990,1;206,0597164;-0,017048618;-1,685509558;0,271756432;5,46304087;-0,003222898;-14,14632005;0,987371629;8068354584;5504174,242;11,32791966;0,841671989;0,000736481;1,66637545;0,001323765;2,238995205;341,52196;2380,067128;354,9367194;2025,130409
Indent 33;8,001;32,004;10,632;31,396;167,2947595;2,519609919;3,326121528;0,070335012;314,3184844;6,646658629;260809,0844;51605,07275;9616638560;428918091,6;157,2688169;0,034452716;4,107207383;0,617591448;3,668442955;-0,001176339;-7,053419697;0,923937305;7617282172;6870501,899;14,24855021;0,847518459;0,000314024;1,766469083;3,4241E-05;3;335,3771548;1789,973053;253,035817;1536,937236
