;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 121;40,005;0;38,851;-1,56;195,5737697;2,213782854;3,573390499;0,125788297;337,6854022;11,88699408;299416,9825;56735,94231;11688269470;557892499,8;188,917416;0,022828372;2,328126157;0,33895078;4,202983822;-0,002159229;-12,05203428;0,939233642;8968693917;9326950,566;15,91591591;0,890912597;0,000596591;1,667918262;0,000281936;2,599255903;346,2468729;1956,100883;250,8699513;1705,230932
Indent 122;40,005;4,001;39,218;2,076;203,2603844;1,486841027;4,132588438;0,103309588;390,5296074;9,76275605;306991,2257;57626,82858;10771820527;301148079,2;202,6867846;0,001965029;0,193062062;0,005823747;4,634940185;-0,001720949;-8,316229299;0,925226654;9416291503;4643749,444;8,609152618;0,792813445;0,00043703;1,745510471;0,002184566;2,140413892;348,2306127;2215,680646;320,4161875;1895,264459
Indent 123;40,005;8,001;39,534;5,845;188,8081064;2,244751043;3,460474586;0,159604286;327,0148484;15,08260502;291854,4355;55772,00131;11381653323;620246362,9;184,7394688;0,013890336;1,464238446;0,126522822;4,246808447;-0,002684545;-15,44026474;0,934828756;8393392497;10201927,32;17,84007096;0,893955207;0,000716135;1,63009958;0,000896747;2,358872833;350,0978338;1891,627741;239,0037919;1652,623949
Indent 124;40,005;12,001;39,885;9,781;190,9006827;3,778166933;4,372874909;0,327603931;413,2366789;30,95857151;287072,8311;50690,44297;9186545102;430216120,9;207,7737126;-0,058054244;-6,060510563;0,79035348;5,997457826;-0,005589626;-25,47407626;0,974502718;7143392932;7029777,978;15,25007986;0,893769574;0,001562496;1,526608788;0,001765564;2,17951703;346,3110858;2308,262211;323,6696704;1984,592541
Indent 125;40,005;16,002;40,268;13,55;172,8925886;7,294249387;3,252811586;0,037999384;307,3906949;3,590941762;270676,3121;59747,80759;10398274211;645866304,4;136,4876388;0,124928678;14,41154944;0,960898673;3,07233009;0,000619348;3,797522807;0,870222274;7216085724;10920124,97;20,94552501;0,936449759;0,000146135;1,899607121;2,83024E-05;3;329,1562453;1767,586839;261,8560101;1505,730829
Indent 126;40,005;20,003;40,585;17,403;200,5759962;7,337969727;4,460043629;0,510585923;421,4741229;48,25036976;298219,738;49762,8967;9821858996;558089591,9;235,4879814;-0,120446691;-11,99287782;0,928953672;6,955465582;-0,00860923;-38,55073888;0,980273145;7153404524;9206194,055;18,7194862;0,938228336;0,002593393;1,438177675;4,72346E-05;3;342,6777923;2338,924967;291,1739325;2047,751035
Indent 127;40,005;24,003;40,885;21,389;169,4569762;5,739591125;3,232950821;0,057231043;305,5138526;5,408333541;267278,489;56038,04249;10105678207;456494561,4;141,2126431;0,096222677;11,30133325;0,911280916;2,97906487;0,000864938;5,324727421;0,74056905;8011870964;7133173,864;14,04847043;0,791687369;0,000149219;1,895383315;0,000319742;2,526179979;342,0984434;1760,710359;265,4489509;1495,261408
Indent 128;40,005;28,004;41,236;25,292;191,7529545;1,829588303;3,652213862;0,169016399;345,13421;15,97204967;294873,0391;54150,59146;11062015333;411912107,6;196,7928643;-0,017182232;-1,790248064;0,295903342;4,459712466;-0,002752952;-15,05976137;0,890096229;9136129885;6565794,357;11,85847129;0,852438147;0,000694127;1,644243817;0,000898106;2,34023864;347,0111183;1993,285338;268,9980699;1724,287268
Indent 129;40,005;32,004;41,569;29,244;181,133572;3,281283852;3,161472038;0,022931606;298,7591076;2,167036802;284064,3132;55324,899;11584381841;352430780,6;166,8892687;0,04844186;5,335041079;0,699852784;3,172467798;-3,73943E-05;-0,235956204;0,008538732;9997276255;5397410,137;9,294552007;0,75314023;0,000224029;1,821105651;5,27397E-05;3;343,6025694;1742,515845;237,8084243;1504,707421
Indent 130;40,005;36,004;41,936;33,163;195,5958364;7,411044412;4,691538241;0,540054724;443,3503638;51,03517145;289588,2974;47032,32545;8949240552;485021688,5;231,7294568;-0,125011887;-12,69619139;0,939632486;7,378258961;-0,009295277;-39,35762221;0,978280529;6578048448;8203639,613;18,20967299;0,944724245;0,002860976;1,42781063;0,003420301;2,033727908;347,8895784;2419,2961;322,4205271;2096,875573
Indent 131;40,005;40,005;42,253;37,099;162,809349;1,580907941;2,857182788;0,108834771;270,0037735;10,28488587;259732,1855;47894,89517;10685876968;413052467,7;162,7280006;0,000275617;0,033747304;9,91289E-05;3,391106352;-0,001808987;-12,62148328;0,9010274;8690777337;6759600,073;12,61025162;0,873441642;0,000504298;1,660013288;0,00055502;2,464186564;351,4032131;1579,243392;195,2322409;1384,011151
Indent 132;40,005;44,006;42,553;41,186;196,8431004;1,943125633;4,294736641;0,15672813;405,8526126;14,81080824;294902,4399;53416,94502;9825876367;304228927,1;202,2990335;-0,018847578;-1,91056327;0,304144562;5,080482966;-0,002714369;-12,61125784;0,969649011;8493427683;4602957,814;9,347420514;0,74002044;0,000650266;1,68004456;0,00115384;2,27121927;345,7022742;2282,711018;333,4008296;1949,310189
Indent 133;44,005;44,006;46,317;40,958;174,9155607;2,242746105;2,930287588;0,050852278;276,9121771;4,805540299;275682,9843;53325,61935;11779903334;428078088,7;166,073767;0,030136445;3,432622074;0,593695998;3,18011732;-0,000851522;-5,789591712;0,92195772;9748214380;6924825,975;11,71195928;0,86042304;0,00032779;1,741277737;0,000142966;2,803364629;351,8561486;1624,916832;201,0251555;1423,891676
Indent 134;44,005;40,005;45,917;37,088;187,3890968;3,1152533;3,319283398;0,07869176;313,6722811;7,436371309;289726,0198;57089,87971;11701418786;575107725,4;174,7921736;0,043203136;4,598708194;0,633685294;3,707501908;-0,001331457;-8,001061221;0,943246831;9013801703;9217606,797;15,71247349;0,846384644;0,000347445;1,750641787;0,000239512;2,671503866;347,7285842;1810,624997;233,32489;1577,300107
Indent 135;44,005;36,005;45,65;33,197;193,544712;4,492549444;4,072686988;0,045291198;384,8689204;4,280018219;291816,3647;58914,7027;10061318358;343069451,5;172,2855959;0,073667552;7,57268738;0,856707051;3,948214822;0,000431324;2,107062162;0,288964532;8494612162;5428984,452;10,73541418;0,797882041;0,000202155;1,878421051;0,003469335;2,031026636;345,7930788;2159,807426;343,6812752;1816,126151
Indent 136;44,005;32,004;45,338;29,405;169,3123325;3,873335009;3,067383128;0,040530607;289,8677056;3,830142388;266917,5045;54601,02977;10642592143;511410186,9;151,2694992;0,061620632;7,245154649;0,841138626;3,229876603;-0,000554954;-3,60163267;0,623065716;8134123669;8567025,449;16,02480464;0,932624392;0,000258105;1,78987599;2,98894E-05;3;332,8102108;1677,728436;228,3444257;1449,38401
Indent 137;44,005;28,004;44,938;25,503;177,7286891;3,514796128;3,857009185;0,263685589;364,487368;24,9182882;270253,8154;47668,6963;9216864885;376411049,9;193,4256623;-0,05425135;-6,073276539;0,795885178;5,168658656;-0,004533279;-23,38469938;0,987373902;7447905168;6113818,933;13,19773482;0,881312676;0,001233438;1,547636193;2,06511E-05;3;324,5075294;2046,996022;282,5059228;1764,490099
Indent 138;44,005;24,003;44,627;21,634;165,9925809;3,169324542;3,138101744;0,048442743;296,5506148;4,577839203;262230,8843;52545,71281;10054400711;455110234,3;151,8897927;0,04803939;5,77435044;0,762753023;3,350185816;-0,000722438;-4,593332289;0,738356416;7904634752;7322909,766;14,53188074;0,859521137;0,000277626;1,780061024;0,000102407;2,813303522;343,3067427;1715,225698;229,478848;1485,74685
Indent 139;44,005;20,003;44,338;17,687;177,9843181;2,791085799;3,118414688;0,057466034;294,690188;5,430540189;280401,6292;54256,88671;11403530903;431868430,6;166,5686548;0,038724821;4,316348337;0,623166149;3,341639457;-0,000757235;-4,817321013;0,562095671;9355399011;6947782,133;12,08692004;0,83783953;0,000314127;1,759171367;4,04861E-05;2,987240797;336,6338142;1708,444339;228,5732557;1479,871083
Indent 140;44,005;16,002;43,982;13,839;194,2638696;4,298002604;4,114439919;0,067220601;388,8145723;6,352346803;293185,6734;58992,97987;10020120405;244407527,2;174,2493642;0,06918125;7,119523712;0,841432138;3,795499114;0,001102437;5,356701859;0,873530571;9056397269;3331162,552;6,646262018;0,603306681;0,000153864;1,928298363;5,25477E-05;2,92153274;332,6698798;2193,238597;351,7773229;1841,461274
Indent 141;44,005;12,001;43,604;9,892;200,5562063;3,982936888;4,213521567;0,267551618;398,1777881;25,28362794;300044,3193;52358,94065;10346786098;357821848,6;219,0903146;-0,06395972;-6,312296672;0,857647122;5,54609233;-0,004598595;-21,60214474;0,982511153;8672509923;5777792,704;11,05282868;0,867146703;0,000982925;1,603129287;0,001229349;2,252746609;345,3900335;2209,886641;310,254467;1899,632174
Indent 142;44,005;8,001;43,293;6,057;206,6513189;6,42192876;3,471426581;0,084177735;328,0498119;7,954795954;316846,3991;65095,38426;13173742143;454499296,9;176,1762801;0,104168276;10,06451345;0,852894086;3,064046107;0,001392488;8,009011596;0,887040565;11473220137;5812640,505;8,809673155;0,530194986;0,000143504;1,916957314;0,000315909;2,596707156;348,4265024;1922,572177;265,639092;1656,933085
Indent 143;44,005;4,001;42,981;2,304;181,1144482;4,380116385;3,298604837;0,034523313;311,7181571;3,262453119;283362,6602;57066,08427;11100145251;392815523,2;160,1260817;0,071448845;7,875412626;0,86010882;3,200662565;0,000333416;2,017844319;0,301496883;9245121180;6314894,868;11,35713171;0,835389932;0,000218156;1,832993039;3,57034E-05;3;335,4645383;1817,593546;261,0449365;1556,548609
Indent 144;44,005;0;42,648;-1,543;200,5312379;5,735079471;4,464144835;0,533706557;421,8616869;50,43526961;298892,2408;51504,22973;9831823836;744954256,7;227,2662379;-0,092155402;-9,118087779;0,862949935;7,109204464;-0,009117506;-40,52311348;0,975371276;6156868485;12667551,47;25,56369302;0,966382432;0,003044151;1,410259327;2,28701E-05;2,999999998;325,8813564;2330,989539;297,5478683;2033,44167
